opening_t,gross_t,losses_t,after_inflow_t,served_t,served_critical_t,closing_t,shortage_t,shortage_critical_t,at,until,year,storage_id,demand_t,critical_demand_t,inventory_t_year,holding_mln
0,0,0.00,0.00,0.00,0.00,0.00,0.1000000000000000000000000000,0.05000000000000000000000000000,0,1,2035,INITIAL,0.1000000000000000000000000000,0.05000000000000000000000000000,0E-32,0E-34
0.00,0,0.00,0.00,0.00,0.00,0.00,0.1000000000000000000000000000,0.05000000000000000000000000000,1,2,2035,INITIAL,0.1000000000000000000000000000,0.05000000000000000000000000000,0E-32,0E-34
0.00,0,0.00,0.00,0.00,0.00,0.00,0.1000000000000000000000000000,0.05000000000000000000000000000,2,3,2035,INITIAL,0.1000000000000000000000000000,0.05000000000000000000000000000,0E-32,0E-34
0.00,0,0.00,0.00,0.00,0.00,0.00,0.1000000000000000000000000000,0.05000000000000000000000000000,3,4,2035,INITIAL,0.1000000000000000000000000000,0.05000000000000000000000000000,0E-32,0E-34
0.00,0,0.00,0.00,0.00,0.00,0.00,0.1000000000000000000000000000,0.05000000000000000000000000000,4,5,2035,INITIAL,0.1000000000000000000000000000,0.05000000000000000000000000000,0E-32,0E-34
0.00,0,0.00,0.00,0.00,0.00,0.00,0.1000000000000000000000000000,0.05000000000000000000000000000,5,6,2035,INITIAL,0.1000000000000000000000000000,0.05000000000000000000000000000,0E-32,0E-34
0.00,0,0.00,0.00,0.00,0.00,0.00,0.1000000000000000000000000000,0.05000000000000000000000000000,6,7,2035,INITIAL,0.1000000000000000000000000000,0.05000000000000000000000000000,0E-32,0E-34
0.00,0,0.00,0.00,0.00,0.00,0.00,0.1000000000000000000000000000,0.05000000000000000000000000000,7,8,2035,INITIAL,0.1000000000000000000000000000,0.05000000000000000000000000000,0E-32,0E-34
0.00,0,0.00,0.00,0.00,0.00,0.00,0.1000000000000000000000000000,0.05000000000000000000000000000,8,9,2035,INITIAL,0.1000000000000000000000000000,0.05000000000000000000000000000,0E-32,0E-34
0.00,0,0.00,0.00,0.00,0.00,0.00,0.1000000000000000000000000000,0.05000000000000000000000000000,9,10,2035,INITIAL,0.1000000000000000000000000000,0.05000000000000000000000000000,0E-32,0E-34
0.00,0,0.00,0.00,0.00,0.00,0.00,0.1000000000000000000000000000,0.05000000000000000000000000000,10,11,2035,INITIAL,0.1000000000000000000000000000,0.05000000000000000000000000000,0E-32,0E-34
0.00,0,0.00,0.00,0.00,0.00,0.00,0.1000000000000000000000000000,0.05000000000000000000000000000,11,12,2035,INITIAL,0.1000000000000000000000000000,0.05000000000000000000000000000,0E-32,0E-34
0.00,0,0.00,0.00,0.00,0.00,0.00,0.1000000000000000000000000000,0.05000000000000000000000000000,12,13,2035,INITIAL,0.1000000000000000000000000000,0.05000000000000000000000000000,0E-32,0E-34
0.00,0,0.00,0.00,0.00,0.00,0.00,0.1000000000000000000000000000,0.05000000000000000000000000000,13,14,2035,INITIAL,0.1000000000000000000000000000,0.05000000000000000000000000000,0E-32,0E-34
0.00,0,0.00,0.00,0.00,0.00,0.00,0.1000000000000000000000000000,0.05000000000000000000000000000,14,15,2035,INITIAL,0.1000000000000000000000000000,0.05000000000000000000000000000,0E-32,0E-34
0.00,0,0.00,0.00,0.00,0.00,0.00,0.1000000000000000000000000000,0.05000000000000000000000000000,15,16,2035,INITIAL,0.1000000000000000000000000000,0.05000000000000000000000000000,0E-32,0E-34
0.00,0,0.00,0.00,0.00,0.00,0.00,0.1000000000000000000000000000,0.05000000000000000000000000000,16,17,2035,INITIAL,0.1000000000000000000000000000,0.05000000000000000000000000000,0E-32,0E-34
0.00,0,0.00,0.00,0.00,0.00,0.00,0.1000000000000000000000000000,0.05000000000000000000000000000,17,18,2035,INITIAL,0.1000000000000000000000000000,0.05000000000000000000000000000,0E-32,0E-34
0.00,0,0.00,0.00,0.00,0.00,0.00,0.1000000000000000000000000000,0.05000000000000000000000000000,18,19,2035,INITIAL,0.1000000000000000000000000000,0.05000000000000000000000000000,0E-32,0E-34
0.00,0,0.00,0.00,0.00,0.00,0.00,0.1000000000000000000000000000,0.05000000000000000000000000000,19,20,2035,INITIAL,0.1000000000000000000000000000,0.05000000000000000000000000000,0E-32,0E-34
0.00,0,0.00,0.00,0.00,0.00,0.00,0.1000000000000000000000000000,0.05000000000000000000000000000,20,21,2035,INITIAL,0.1000000000000000000000000000,0.05000000000000000000000000000,0E-32,0E-34
0.00,0,0.00,0.00,0.00,0.00,0.00,0.1000000000000000000000000000,0.05000000000000000000000000000,21,22,2035,INITIAL,0.1000000000000000000000000000,0.05000000000000000000000000000,0E-32,0E-34
0.00,0,0.00,0.00,0.00,0.00,0.00,0.1000000000000000000000000000,0.05000000000000000000000000000,22,23,2035,INITIAL,0.1000000000000000000000000000,0.05000000000000000000000000000,0E-32,0E-34
0.00,0,0.00,0.00,0.00,0.00,0.00,0.1000000000000000000000000000,0.05000000000000000000000000000,23,24,2035,INITIAL,0.1000000000000000000000000000,0.05000000000000000000000000000,0E-32,0E-34
0.00,0,0.00,0.00,0.00,0.00,0.00,0.1000000000000000000000000000,0.05000000000000000000000000000,24,25,2035,INITIAL,0.1000000000000000000000000000,0.05000000000000000000000000000,0E-32,0E-34
0.00,0,0.00,0.00,0.00,0.00,0.00,0.1000000000000000000000000000,0.05000000000000000000000000000,25,26,2035,INITIAL,0.1000000000000000000000000000,0.05000000000000000000000000000,0E-32,0E-34
0.00,0,0.00,0.00,0.00,0.00,0.00,0.1000000000000000000000000000,0.05000000000000000000000000000,26,27,2035,INITIAL,0.1000000000000000000000000000,0.05000000000000000000000000000,0E-32,0E-34
0.00,0,0.00,0.00,0.00,0.00,0.00,0.1000000000000000000000000000,0.05000000000000000000000000000,27,28,2035,INITIAL,0.1000000000000000000000000000,0.05000000000000000000000000000,0E-32,0E-34
0.00,0,0.00,0.00,0.00,0.00,0.00,0.1000000000000000000000000000,0.05000000000000000000000000000,28,29,2035,INITIAL,0.1000000000000000000000000000,0.05000000000000000000000000000,0E-32,0E-34
0.00,0,0.00,0.00,0.00,0.00,0.00,0.1000000000000000000000000000,0.05000000000000000000000000000,29,30,2035,INITIAL,0.1000000000000000000000000000,0.05000000000000000000000000000,0E-32,0E-34
0.00,0,0.00,0.00,0.00,0.00,0.00,0.1000000000000000000000000000,0.05000000000000000000000000000,30,31,2035,INITIAL,0.1000000000000000000000000000,0.05000000000000000000000000000,0E-32,0E-34
0.00,0,0.00,0.00,0.00,0.00,0.00,0.1000000000000000000000000000,0.05000000000000000000000000000,31,32,2035,INITIAL,0.1000000000000000000000000000,0.05000000000000000000000000000,0E-32,0E-34
0.00,0,0.00,0.00,0.00,0.00,0.00,0.1000000000000000000000000000,0.05000000000000000000000000000,32,33,2035,INITIAL,0.1000000000000000000000000000,0.05000000000000000000000000000,0E-32,0E-34
0.00,0,0.00,0.00,0.00,0.00,0.00,0.1000000000000000000000000000,0.05000000000000000000000000000,33,34,2035,INITIAL,0.1000000000000000000000000000,0.05000000000000000000000000000,0E-32,0E-34
0.00,0,0.00,0.00,0.00,0.00,0.00,0.1000000000000000000000000000,0.05000000000000000000000000000,34,35,2035,INITIAL,0.1000000000000000000000000000,0.05000000000000000000000000000,0E-32,0E-34
0.00,0,0.00,0.00,0.00,0.00,0.00,0.1000000000000000000000000000,0.05000000000000000000000000000,35,36,2035,INITIAL,0.1000000000000000000000000000,0.05000000000000000000000000000,0E-32,0E-34
0.00,0,0.00,0.00,0.00,0.00,0.00,0.1000000000000000000000000000,0.05000000000000000000000000000,36,37,2035,INITIAL,0.1000000000000000000000000000,0.05000000000000000000000000000,0E-32,0E-34
0.00,0,0.00,0.00,0.00,0.00,0.00,0.1000000000000000000000000000,0.05000000000000000000000000000,37,38,2035,INITIAL,0.1000000000000000000000000000,0.05000000000000000000000000000,0E-32,0E-34
0.00,0,0.00,0.00,0.00,0.00,0.00,0.1000000000000000000000000000,0.05000000000000000000000000000,38,39,2035,INITIAL,0.1000000000000000000000000000,0.05000000000000000000000000000,0E-32,0E-34
0.00,0,0.00,0.00,0.00,0.00,0.00,0.1000000000000000000000000000,0.05000000000000000000000000000,39,40,2035,INITIAL,0.1000000000000000000000000000,0.05000000000000000000000000000,0E-32,0E-34
0.00,0,0.00,0.00,0.00,0.00,0.00,0.1000000000000000000000000000,0.05000000000000000000000000000,40,41,2035,INITIAL,0.1000000000000000000000000000,0.05000000000000000000000000000,0E-32,0E-34
0.00,0,0.00,0.00,0.00,0.00,0.00,0.1000000000000000000000000000,0.05000000000000000000000000000,41,42,2035,INITIAL,0.1000000000000000000000000000,0.05000000000000000000000000000,0E-32,0E-34
0.00,20,1.00,19.00,0.1000000000000000000000000000,0.05000000000000000000000000000,18.90000000000000000000000000,0E-28,0E-29,42,43,2035,INITIAL,0.1000000000000000000000000000,0.05000000000000000000000000000,0.05191780821917808219178082192,0.03738082191780821917808219178
18.90000000000000000000000000,0,0.00,18.90000000000000000000000000,0.1000000000000000000000000000,0.05000000000000000000000000000,18.80000000000000000000000000,0E-28,0E-29,43,44,2035,INITIAL,0.1000000000000000000000000000,0.05000000000000000000000000000,0.05164383561643835616438356165,0.03718356164383561643835616439
18.80000000000000000000000000,0,0.00,18.80000000000000000000000000,0.1000000000000000000000000000,0.05000000000000000000000000000,18.70000000000000000000000000,0E-28,0E-29,44,45,2035,INITIAL,0.1000000000000000000000000000,0.05000000000000000000000000000,0.05136986301369863013698630138,0.03698630136986301369863013699
