scenario_id,year,total_demand_t,critical_demand_t,critical_demand_basis,required_opening_reserve_t,A_variable_price_mln_per_t,B_variable_price_mln_per_t,D_actual_delivery_share,max_loss_share
BASE,2035,100,80,CASE_INPUT,12.32876712328767123287671233,6.2,8.9,1,
BASE,2036,140,105,CASE_INPUT,17.26027397260273972602739726,6.2,8.9,1,
BASE,2037,190,135,CASE_INPUT,23.42465753424657534246575342,6.2,8.9,1,
BASE,2038,250,170,CASE_INPUT,30.82191780821917808219178082,6.2,8.9,1,
BASE,2039,320,210,CASE_INPUT,39.45205479452054794520547945,6.2,8.9,1,
BASE,2040,390,250,CASE_INPUT,48.08219178082191780821917808,6.2,8.9,1,
MANDATORY_STRESS,2035,100,80,CASE_INPUT,12.32876712328767123287671233,6.2,8.9,1,
MANDATORY_STRESS,2036,140,105,CASE_INPUT,17.26027397260273972602739726,6.2,8.9,1,
MANDATORY_STRESS,2037,190,135,CASE_INPUT,23.42465753424657534246575342,6.2,8.9,1,
MANDATORY_STRESS,2038,287.50,195.50,CASE_INPUT,35.44520547945205479452054795,7.750,11.125,0.55,0.02
MANDATORY_STRESS,2039,368.00,241.50,CASE_INPUT,45.36986301369863013698630137,7.750,11.125,0.75,0.02
MANDATORY_STRESS,2040,448.50,287.50,CASE_INPUT,55.29452054794520547945205479,6.2,8.9,1,0.02
LOW,2035,80,64,CASE_INPUT_DERIVED,9.863013698630136986301369863,6.2,8.9,1,
LOW,2036,112,84,CASE_INPUT_DERIVED,13.80821917808219178082191781,6.2,8.9,1,
LOW,2037,152,108,CASE_INPUT_DERIVED,18.73972602739726027397260274,6.2,8.9,1,
LOW,2038,200,136,CASE_INPUT_DERIVED,24.65753424657534246575342466,6.2,8.9,1,
LOW,2039,256,168,CASE_INPUT_DERIVED,31.56164383561643835616438356,6.2,8.9,1,
LOW,2040,312,200,CASE_INPUT_DERIVED,38.46575342465753424657534247,6.2,8.9,1,
HIGH,2035,110,88,CASE_INPUT_DERIVED,13.56164383561643835616438356,6.2,8.9,1,
HIGH,2036,154,115.5,CASE_INPUT_DERIVED,18.98630136986301369863013699,6.2,8.9,1,
HIGH,2037,209,148.5,CASE_INPUT_DERIVED,25.76712328767123287671232877,6.2,8.9,1,
HIGH,2038,312.5,212.5,CASE_INPUT_DERIVED,38.52739726027397260273972603,6.2,8.9,1,
HIGH,2039,400,262.5,CASE_INPUT_DERIVED,49.31506849315068493150684932,6.2,8.9,1,
HIGH,2040,487.5,312.5,CASE_INPUT_DERIVED,60.10273972602739726027397260,6.2,8.9,1,
