strategy,label,reserve_days,plan_id,base_status,stress_adapted_status,eligible,base_pv_mln,stress_pv_mln,worst_pv_mln,capex_mln,base_total_mln,stress_total_mln
EARTH_ONLY,Только Земля,45,EARTH_ONLY_BASE_R45,FEASIBLE,INFEASIBLE,False,7607.874637350487258122811837,9245.324753699075404178904882,9245.324753699075404178904882,180,11171.19608416876769904452841,13773.09039335726574236869691
EARTH_ONLY,Только Земля,50,EARTH_ONLY_BASE_R50,FEASIBLE,TARGETS_MISSED,False,7615.296029625470184248344918,9283.952714852372165280064047,9283.952714852372165280064047,180,11158.83056340487074119817756,13819.82045959003282506743469
EARTH_ONLY,Только Земля,55,EARTH_ONLY_BASE_R55,FEASIBLE,TARGETS_MISSED,False,7622.717421900453110373877995,9322.680375824290572183956619,9322.680375824290572183956619,180,11146.46504264097378335182671,13866.72715013317708922610867
EARTH_ONLY,Только Земля,60,EARTH_ONLY_BASE_R60,FEASIBLE,TARGETS_MISSED,False,7630.138814175436036499411079,9361.498879516783932416566837,9361.498879516783932416566837,180,11134.09952187707682550547586,13913.79477409722583827875902
EARTH_ONLY,Только Земля,65,EARTH_ONLY_BASE_R65,FEASIBLE,TARGETS_MISSED,False,7637.560206450418962624944157,9400.382356225221786494046917,9400.382356225221786494046917,180,11121.73400111317986765912502,13960.97750172237423079172085
EARTH_ONLY,Только Земля,70,EARTH_ONLY_BASE_R70,FEASIBLE,FEASIBLE,True,7644.981598725401888750477237,9439.375391778313208567295915,9439.375391778313208567295915,180,11109.36848034928290981277417,14008.35431952391594287683508
EARTH_NEW,Земля + новый поставщик C,45,EARTH_NEW_BASE_R45,FEASIBLE,FEASIBLE,True,7387.719485264493389091271508,8712.023043394298939426469377,8712.023043394298939426469377,540,10610.66648727452999730862913,12720.19889923171484562541692
EARTH_NEW,Земля + новый поставщик C,50,EARTH_NEW_BASE_R50,FEASIBLE,FEASIBLE,True,7407.710911185801910905285979,8733.556463249338714792467782,8733.556463249338714792467782,540,10621.49582425562777075837944,12733.51163286302614023317288
EARTH_NEW,Земля + новый поставщик C,55,EARTH_NEW_BASE_R55,FEASIBLE,FEASIBLE,True,7427.702337107110432719300449,8755.089883104378490158466206,8755.089883104378490158466206,540,10632.32516123672554420812975,12746.82436649433743484092887
EARTH_NEW,Земля + новый поставщик C,60,EARTH_NEW_BASE_R60,FEASIBLE,FEASIBLE,True,7447.693763028418954533314924,8776.623302959418265524464618,8776.623302959418265524464618,540,10643.15449821782331765788006,12760.13710012564872944868484
EARTH_NEW,Земля + новый поставщик C,65,EARTH_NEW_BASE_R65,FEASIBLE,FEASIBLE,True,7472.852750396632911772086238,8803.324284261363476315219872,8803.324284261363476315219872,540,10663.13848552336233119414803,12782.60448408140126414295847
EARTH_NEW,Земля + новый поставщик C,70,EARTH_NEW_BASE_R70,FEASIBLE,FEASIBLE,True,7498.109411696507219828100450,8830.122939494969037923218011,8830.122939494969037923218011,540,10683.29550815694748748456165,12805.24490336519994159137772
LUNAR,Земля + лунное производство D,45,LUNAR_BASE_R45,FEASIBLE,FEASIBLE,True,7202.140385660294904562305431,9106.220628150760241890969173,9106.220628150760241890969173,1430,10193.40621829333095122133502,13184.19614846668019829429844
LUNAR,Земля + лунное производство D,50,LUNAR_BASE_R50,FEASIBLE,FEASIBLE,True,7221.650443350382397604566544,9128.188426204989761663380576,9128.188426204989761663380576,1430,10203.53078404709801644636124,13198.10201693933915670480508
LUNAR,Земля + лунное производство D,55,LUNAR_BASE_R55,FEASIBLE,FEASIBLE,True,7241.160501040469890646827661,9150.422095652184592440157155,9150.422095652184592440157155,1430,10213.65534980086508167138747,13212.43998599852466793948136
LUNAR,Земля + лунное производство D,60,LUNAR_BASE_R60,FEASIBLE,FEASIBLE,True,7260.670558730557383689088779,9172.655765099379423216933734,9172.655765099379423216933734,1430,10223.77991555463214689641370,13226.77795505771017917415764
LUNAR,Земля + лунное производство D,65,LUNAR_BASE_R65,FEASIBLE,FEASIBLE,True,7280.180616420644876731349894,9194.889434546574253993710294,9194.889434546574253993710294,1430,10233.90448130839921212143992,13241.11592411689569040883390
LUNAR,Земля + лунное производство D,70,LUNAR_BASE_R70,FEASIBLE,FEASIBLE,True,7302.639205922729210069130864,9220.071635805765925066006706,9220.071635805765925066006706,1430,10249.25255102755921173723759,13260.67739714147413603428159
