strategy,plan_id,real_rate,base_pv_mln,stress_pv_mln,worst_pv_mln
EARTH_ONLY,EARTH_ONLY_BASE_R70,0,11109.36848034928290981277417,14008.35431952391594287683507,14008.35431952391594287683507
EARTH_ONLY,EARTH_ONLY_BASE_R70,0.05,9145.672488117020526195924634,11411.85358809317106087524302,11411.85358809317106087524302
EARTH_ONLY,EARTH_ONLY_BASE_R70,0.10,7644.981598725401888750477237,9439.375391778313208567295915,9439.375391778313208567295915
EARTH_ONLY,EARTH_ONLY_BASE_R70,0.15,6479.713109453883754966616602,7917.168552474045572521339059,7917.168552474045572521339059
EARTH_NEW,EARTH_NEW_BASE_R45,0,10610.66648727452999730862912,12720.19889923171484562541693,12720.19889923171484562541693
EARTH_NEW,EARTH_NEW_BASE_R45,0.05,8784.565391843623030428188128,10445.65953877015667059034610,10445.65953877015667059034610
EARTH_NEW,EARTH_NEW_BASE_R45,0.10,7387.719485264493389091271508,8712.023043394298939426469377,8712.023043394298939426469377
EARTH_NEW,EARTH_NEW_BASE_R45,0.15,6301.689839321049801110238641,7369.414034465570208057879735,7369.414034465570208057879735
LUNAR,LUNAR_BASE_R45,0,10193.40621829333095122133502,13184.19614846668019829429844,13184.19614846668019829429844
LUNAR,LUNAR_BASE_R45,0.05,8506.771724963685501243773803,10878.91311187728271140200839,10878.91311187728271140200839
LUNAR,LUNAR_BASE_R45,0.10,7202.140385660294904562305431,9106.220628150760241890969173,9106.220628150760241890969173
LUNAR,LUNAR_BASE_R45,0.15,6176.623202223207634805322793,7721.625341395508007065345911,7721.625341395508007065345911
HYBRID,HYBRID_BASE_R45,0,10474.35236659348069333214418,13411.89395363555602326240892,13411.89395363555602326240892
HYBRID,HYBRID_BASE_R45,0.05,8793.584007765698771751017677,11124.00392451485182764944434,11124.00392451485182764944434
HYBRID,HYBRID_BASE_R45,0.10,7490.944757826263530790532194,9361.961968648950389784569833,9361.961968648950389784569833
HYBRID,HYBRID_BASE_R45,0.15,6464.900710461982764636214377,7983.429012236233260614529730,7983.429012236233260614529730
