id,source,year,start,end,source_capacity,reserved_annual,price,reservation_rate,take_or_pay
PREP-B,B,2034,-365,0,110,12.90970379401850390877142652,8.9,0.15,0.00
A-2035,A,2035,0,365,190,109.8759234024241554902101414,6.2,0.45,0.70
A-2036,A,2036,365,730,190,150.4522733521809939438377314,6.2,0.45,0.70
A-2037,A,2037,730,1095,190,190,6.2,0.45,0.70
B-2037,B,2037,730,1095,110,110,8.9,0.15,0.00
A-2038,A,2038,1095,1460,190,190,6.2,0.45,0.70
C-2038,C,2038,1095,1460,130,73.08163718041151350451999332,7.1,0.30,0.50
B-2038,B,2038,1095,1460,110,110,8.9,0.15,0.00
A-2039,A,2039,1460,1825,190,190,6.2,0.45,0.70
C-2039,C,2039,1460,1825,130,130,7.1,0.30,0.50
B-2039,B,2039,1460,1825,110,110,8.9,0.15,0.00
A-2040,A,2040,1825,2190,190,190,6.2,0.45,0.70
C-2040,C,2040,1825,2190,130,130,7.1,0.30,0.50
B-2040,B,2040,1825,2190,110,110,8.9,0.15,0.00
A-2041,A,2041,2190,2555,190,190,6.2,0.45,0.70
C-2041,C,2041,2190,2555,130,130,7.1,0.30,0.50
X-2041,X,2041,2190,2555,40,40,7.5,0.2,0.00
B-2041,B,2041,2190,2555,110,110,8.9,0.15,0.00
