id,source,contract_id,ordered_at,planned_arrival_at,actual_arrival_at,planned_t,actual_share,gross_t,role
PREP-STOCK,B,PREP-B,-368/3,-1,-1,12.90970379401850390877142652,1,12.90970379401850390877142652,opening_inventory
A-2035-01,A,A-2035,-365,0,0,9.156326950202012957517511783,1,9.156326950202012957517511783,planned
A-2035-02,A,A-2035,-4015/12,365/12,365/12,9.156326950202012957517511783,1,9.156326950202012957517511783,planned
A-2035-03,A,A-2035,-1825/6,365/6,365/6,9.156326950202012957517511783,1,9.156326950202012957517511783,planned
A-2035-04,A,A-2035,-1095/4,365/4,365/4,9.156326950202012957517511783,1,9.156326950202012957517511783,planned
A-2035-05,A,A-2035,-730/3,365/3,365/3,9.156326950202012957517511783,1,9.156326950202012957517511783,planned
A-2035-06,A,A-2035,-2555/12,1825/12,1825/12,9.156326950202012957517511783,1,9.156326950202012957517511783,planned
A-2035-07,A,A-2035,-365/2,365/2,365/2,9.156326950202012957517511783,1,9.156326950202012957517511783,planned
A-2035-08,A,A-2035,-1825/12,2555/12,2555/12,9.156326950202012957517511783,1,9.156326950202012957517511783,planned
A-2035-09,A,A-2035,-365/3,730/3,730/3,9.156326950202012957517511783,1,9.156326950202012957517511783,planned
A-2035-10,A,A-2035,-365/4,1095/4,1095/4,9.156326950202012957517511783,1,9.156326950202012957517511783,planned
A-2035-11,A,A-2035,-365/6,1825/6,1825/6,9.156326950202012957517511783,1,9.156326950202012957517511783,planned
A-2035-12,A,A-2035,-365/12,4015/12,4015/12,9.1563269502020129575175118,1,9.1563269502020129575175118,planned
A-2036-01,A,A-2036,0,365,365,12.53768944601508282865314428,1,12.53768944601508282865314428,planned
A-2036-02,A,A-2036,365/12,4745/12,4745/12,12.53768944601508282865314428,1,12.53768944601508282865314428,planned
A-2036-03,A,A-2036,365/6,2555/6,2555/6,12.53768944601508282865314428,1,12.53768944601508282865314428,planned
A-2036-04,A,A-2036,365/4,1825/4,1825/4,12.53768944601508282865314428,1,12.53768944601508282865314428,planned
A-2036-05,A,A-2036,365/3,1460/3,1460/3,12.53768944601508282865314428,1,12.53768944601508282865314428,planned
A-2036-06,A,A-2036,1825/12,6205/12,6205/12,12.53768944601508282865314428,1,12.53768944601508282865314428,planned
A-2036-07,A,A-2036,365/2,1095/2,1095/2,12.53768944601508282865314428,1,12.53768944601508282865314428,planned
A-2036-08,A,A-2036,2555/12,6935/12,6935/12,12.53768944601508282865314428,1,12.53768944601508282865314428,planned
A-2036-09,A,A-2036,730/3,1825/3,1825/3,12.53768944601508282865314428,1,12.53768944601508282865314428,planned
A-2036-10,A,A-2036,1095/4,2555/4,2555/4,12.53768944601508282865314428,1,12.53768944601508282865314428,planned
