opening_t,gross_t,losses_t,after_inflow_t,served_t,served_critical_t,closing_t,shortage_t,shortage_critical_t,at,until,year,storage_id,demand_t,critical_demand_t,inventory_t_year,holding_mln
0,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,-365,-364,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,-364,-363,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,-363,-362,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,-362,-361,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,-361,-360,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,-360,-359,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,-359,-358,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,-358,-357,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,-357,-356,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,-356,-355,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,-355,-354,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,-354,-353,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,-353,-352,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,-352,-351,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,-351,-350,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,-350,-349,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,-349,-348,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,-348,-347,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,-347,-346,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,-346,-345,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,-345,-344,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,-344,-343,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,-343,-342,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,-342,-341,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,-341,-340,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,-340,-339,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,-339,-338,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,-338,-337,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,-337,-336,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,-336,-335,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,-335,-334,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,-334,-333,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,-333,-332,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,-332,-331,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,-331,-330,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,-330,-329,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,-329,-328,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,-328,-327,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,-327,-326,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,-326,-325,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,-325,-324,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,-324,-323,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,-323,-322,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,-322,-321,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,-321,-320,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,-320,-319,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,-319,-318,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,-318,-317,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,-317,-316,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,-316,-315,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,-315,-314,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,-314,-313,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,-313,-312,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,-312,-311,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,-311,-310,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,-310,-309,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,-309,-308,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,-308,-307,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,-307,-306,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,-306,-305,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,-305,-304,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,-304,-303,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,-303,-302,2034,BASE,0E-30,0E-30,0E-33,0E-35
