id,at,category,amount_mln,attribution_year,subject
EARTH_NEW:option,0,capex,90,2035,EARTH_NEW
PREP-B:procurement,0,procurement,114.8963637667646847880656960,2035,PREP-B
PREP-B:reservation,0,reservation,1.936455569102775586315713978,2035,PREP-B
holding:2034,0,holding,0.02431975980484143366485269282,2035,storage
A-2035:procurement,365,procurement,681.2307250950297640393028767,2035,A-2035
A-2035:reservation,365,reservation,49.44416553109086997059456363,2035,A-2035
EARTH_NEW:exercise,365,capex,270,2036,EARTH_NEW
ZBO:exercise,365,capex,180,2036,ZBO
holding:2035,365,holding,13.80000000000000000000000052,2035,storage
A-2036:procurement,730,procurement,932.8040947835221624517939347,2036,A-2036
A-2036:reservation,730,reservation,67.70352300848144727472697913,2036,A-2036
ZBO:opex:2036,730,fixed_opex,6.0,2036,ZBO
holding:2036,730,holding,18.58466359745909094113748836,2036,storage
A-2037:procurement,1095,procurement,1178.000000000000000000000000,2037,A-2037
A-2037:reservation,1095,reservation,85.50,2037,A-2037
B-2037:procurement,1095,procurement,128.8207254173368088292385344,2037,B-2037
B-2037:reservation,1095,reservation,16.50,2037,B-2037
ZBO:opex:2037,1095,fixed_opex,12,2037,ZBO
holding:2037,1095,holding,27.25376712328767123287671436,2037,storage
A-2038:procurement,1460,procurement,1178.000000000000000000000000,2038,A-2038
A-2038:reservation,1460,reservation,85.50,2038,A-2038
B-2038:procurement,1460,procurement,0.0,2038,B-2038
B-2038:reservation,1460,reservation,16.50,2038,B-2038
C-2038:procurement,1460,procurement,518.8796239809217458820919526,2038,C-2038
C-2038:reservation,1460,reservation,21.92449115412345405135599800,2038,C-2038
EARTH_NEW:opex:2038,1460,fixed_opex,0,2038,EARTH_NEW
ZBO:opex:2038,1460,fixed_opex,12,2038,ZBO
holding:2038,1460,holding,28.22660547945205479452055074,2038,storage
A-2039:procurement,1825,procurement,1178.000000000000000000000000,2039,A-2039
A-2039:reservation,1825,reservation,85.50,2039,A-2039
B-2039:procurement,1825,procurement,123.9933725250956685707947422,2039,B-2039
B-2039:reservation,1825,reservation,16.50,2039,B-2039
C-2039:procurement,1825,procurement,923.0000000000000000000000000,2039,C-2039
C-2039:reservation,1825,reservation,39.00,2039,C-2039
EARTH_NEW:opex:2039,1825,fixed_opex,0,2039,EARTH_NEW
ZBO:opex:2039,1825,fixed_opex,12,2039,ZBO
holding:2039,1825,holding,46.13691780821917808219178385,2039,storage
A-2040:procurement,2190,procurement,1178.000000000000000000000000,2040,A-2040
A-2040:reservation,2190,reservation,85.50,2040,A-2040
B-2040:procurement,2190,procurement,643.5014419610670511896178803,2040,B-2040
B-2040:reservation,2190,reservation,16.50,2040,B-2040
C-2040:procurement,2190,procurement,923.0000000000000000000000000,2040,C-2040
C-2040:reservation,2190,reservation,39.00,2040,C-2040
EARTH_NEW:opex:2040,2190,fixed_opex,0,2040,EARTH_NEW
ZBO:opex:2040,2190,fixed_opex,12,2040,ZBO
holding:2040,2190,holding,50.57445205479452054794520793,2040,storage
A-2041:procurement,2555,procurement,1178.000000000000000000000000,2041,A-2041
A-2041:reservation,2555,reservation,85.50,2041,A-2041
B-2041:procurement,2555,procurement,184.0317231434751261715933669,2041,B-2041
B-2041:reservation,2555,reservation,16.50,2041,B-2041
C-2041:procurement,2555,procurement,923.0000000000000000000000000,2041,C-2041
C-2041:reservation,2555,reservation,39.00,2041,C-2041
EARTH_NEW:opex:2041,2555,fixed_opex,0,2041,EARTH_NEW
X-2041:procurement,2555,procurement,300.0000000000000000000000000,2041,X-2041
X-2041:reservation,2555,reservation,8.0,2041,X-2041
ZBO:opex:2041,2555,fixed_opex,12,2041,ZBO
holding:2041,2555,holding,30.32383561643835616438356350,2041,storage
