opening_t,gross_t,losses_t,after_inflow_t,served_t,served_critical_t,closing_t,shortage_t,shortage_critical_t,offered_gross_t,rejected_gross_t,curtailed_inventory_t,at,until,year,storage_id,demand_t,critical_demand_t,inventory_t_year,holding_mln
0,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,0,0,0,-365,-364,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,0,0,0,-364,-363,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,0,0,0,-363,-362,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,0,0,0,-362,-361,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,0,0,0,-361,-360,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,0,0,0,-360,-359,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,0,0,0,-359,-358,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,0,0,0,-358,-357,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,0,0,0,-357,-356,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,0,0,0,-356,-355,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,0,0,0,-355,-354,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,0,0,0,-354,-353,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,0,0,0,-353,-352,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,0,0,0,-352,-351,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,0,0,0,-351,-350,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,0,0,0,-350,-349,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,0,0,0,-349,-348,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,0,0,0,-348,-347,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,0,0,0,-347,-346,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,0,0,0,-346,-345,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,0,0,0,-345,-344,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,0,0,0,-344,-343,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,0,0,0,-343,-342,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,0,0,0,-342,-341,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,0,0,0,-341,-340,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,0,0,0,-340,-339,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,0,0,0,-339,-338,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,0,0,0,-338,-337,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,0,0,0,-337,-336,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,0,0,0,-336,-335,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,0,0,0,-335,-334,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,0,0,0,-334,-333,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,0,0,0,-333,-332,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,0,0,0,-332,-331,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,0,0,0,-331,-330,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,0,0,0,-330,-329,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,0,0,0,-329,-328,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,0,0,0,-328,-327,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,0,0,0,-327,-326,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,0,0,0,-326,-325,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,0,0,0,-325,-324,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,0,0,0,-324,-323,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,0,0,0,-323,-322,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,0,0,0,-322,-321,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,0,0,0,-321,-320,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,0,0,0,-320,-319,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,0,0,0,-319,-318,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,0,0,0,-318,-317,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,0,0,0,-317,-316,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,0,0,0,-316,-315,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,0,0,0,-315,-314,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,0,0,0,-314,-313,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,0,0,0,-313,-312,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,0,0,0,-312,-311,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,0,0,0,-311,-310,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,0,0,0,-310,-309,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,0,0,0,-309,-308,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,0,0,0,-308,-307,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,0,0,0,-307,-306,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,0,0,0,-306,-305,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,0,0,0,-305,-304,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,0,0,0,-304,-303,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,0,0,0,-303,-302,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,0,0,0,-302,-301,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,0,0,0,-301,-300,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,0,0,0,-300,-299,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,0,0,0,-299,-298,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,0,0,0,-298,-297,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,0,0,0,-297,-296,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,0,0,0,-296,-295,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,0,0,0,-295,-294,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,0,0,0,-294,-293,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,0,0,0,-293,-292,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,0,0,0,-292,-291,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,0,0,0,-291,-290,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,0,0,0,-290,-289,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,0,0,0,-289,-288,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,0,0,0,-288,-287,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,0,0,0,-287,-286,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,0,0,0,-286,-285,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,0,0,0,-285,-284,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,0,0,0,-284,-283,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,0,0,0,-283,-282,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,0,0,0,-282,-281,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,0,0,0,-281,-280,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,0,0,0,-280,-279,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,0,0,0,-279,-278,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,0,0,0,-278,-277,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,0,0,0,-277,-276,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,0,0,0,-276,-275,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,0,0,0,-275,-274,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,0,0,0,-274,-273,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,0,0,0,-273,-272,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,0,0,0,-272,-271,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,0,0,0,-271,-270,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,0,0,0,-270,-269,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,0,0,0,-269,-268,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,0,0,0,-268,-267,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,0,0,0,-267,-266,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,0,0,0,-266,-265,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,0,0,0,-265,-264,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,0,0,0,-264,-263,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,0,0,0,-263,-262,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,0,0,0,-262,-261,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,0,0,0,-261,-260,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,0,0,0,-260,-259,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,0,0,0,-259,-258,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,0,0,0,-258,-257,2034,BASE,0E-30,0E-30,0E-33,0E-35
0.000,0,0.000,0.000,0.000,0.000,0.000,0E-30,0E-30,0,0,0,-257,-256,2034,BASE,0E-30,0E-30,0E-33,0E-35
