id,at,category,amount_mln,attribution_year,subject
EARTH_NEW:option,0,capex,90,2035,EARTH_NEW
PREP-B:procurement,0,procurement,153.1951516890195797174209281,2035,PREP-B
PREP-B:reservation,0,reservation,2.581940758803700781754285304,2035,PREP-B
holding:2034,0,holding,0.03242634640645524488647025709,2035,storage
A-2035:procurement,365,procurement,691.9027468980850606038872553,2035,A-2035
A-2035:reservation,365,reservation,50.21874775873198020512084918,2035,A-2035
EARTH_NEW:exercise,365,capex,270,2036,EARTH_NEW
ZBO:exercise,365,capex,180,2036,ZBO
holding:2035,365,holding,17.40000000000000000000000049,2035,storage
A-2036:procurement,730,procurement,945.9175544102820803869175616,2036,A-2036
A-2036:reservation,730,reservation,68.65530636848821551195369399,2036,A-2036
ZBO:opex:2036,730,fixed_opex,6.0,2036,ZBO
holding:2036,730,holding,23.52221744372140243515535375,2036,storage
A-2037:procurement,1095,procurement,1178.000000000000000000000000,2037,A-2037
A-2037:reservation,1095,reservation,85.50,2037,A-2037
B-2037:procurement,1095,procurement,164.9148133769618989518052249,2037,B-2037
B-2037:reservation,1095,reservation,16.50,2037,B-2037
ZBO:opex:2037,1095,fixed_opex,12,2037,ZBO
holding:2037,1095,holding,34.43835616438356164383561858,2037,storage
A-2038:procurement,1460,procurement,1178.000000000000000000000000,2038,A-2038
A-2038:reservation,1460,reservation,85.50,2038,A-2038
B-2038:procurement,1460,procurement,0.0,2038,B-2038
B-2038:reservation,1460,reservation,16.50,2038,B-2038
C-2038:procurement,1460,procurement,542.6532638234152293272697019,2038,C-2038
C-2038:reservation,1460,reservation,22.92901114746824912650435360,2038,C-2038
E-INSURANCE-2038:procurement,1460,procurement,0.0,2038,E-INSURANCE-2038
E-INSURANCE-2038:reservation,1460,reservation,28.00,2038,E-INSURANCE-2038
EARTH_NEW:opex:2038,1460,fixed_opex,0,2038,EARTH_NEW
ZBO:opex:2038,1460,fixed_opex,12,2038,ZBO
holding:2038,1460,holding,37.62667397260273972602740018,2038,storage
A-2039:procurement,1825,procurement,1178.000000000000000000000000,2039,A-2039
A-2039:reservation,1825,reservation,85.50,2039,A-2039
B-2039:procurement,1825,procurement,153.7941323276579224668626252,2039,B-2039
B-2039:reservation,1825,reservation,16.50,2039,B-2039
C-2039:procurement,1825,procurement,923.0000000000000000000000000,2039,C-2039
C-2039:reservation,1825,reservation,39.00,2039,C-2039
E-INSURANCE-2039:procurement,1825,procurement,0.0,2039,E-INSURANCE-2039
E-INSURANCE-2039:reservation,1825,reservation,28.00,2039,E-INSURANCE-2039
EARTH_NEW:opex:2039,1825,fixed_opex,0,2039,EARTH_NEW
ZBO:opex:2039,1825,fixed_opex,12,2039,ZBO
holding:2039,1825,holding,58.31589041095890410958904422,2039,storage
A-2040:procurement,2190,procurement,1178.000000000000000000000000,2040,A-2040
A-2040:reservation,2190,reservation,85.50,2040,A-2040
B-2040:procurement,2190,procurement,1.026676279740447007930786104,2040,B-2040
B-2040:reservation,2190,reservation,16.50,2040,B-2040
C-2040:procurement,2190,procurement,923.0000000000000000000000000,2040,C-2040
C-2040:reservation,2190,reservation,39.00,2040,C-2040
E-INSURANCE-2040:procurement,2190,procurement,0.0,2040,E-INSURANCE-2040
E-INSURANCE-2040:reservation,2190,reservation,28.00,2040,E-INSURANCE-2040
EARTH_NEW:opex:2040,2190,fixed_opex,0,2040,EARTH_NEW
ZBO:opex:2040,2190,fixed_opex,12,2040,ZBO
holding:2040,2190,holding,36.02958904109589041095890670,2040,storage
