id,source,year,start,end,source_capacity,reserved_annual,price,reservation_rate,take_or_pay
PREP-B,B,2034,-365,0,110,17.21293839202467187836190203,8.9,0.15,0.00
A-2035,A,2035,0,365,190,111.5972172416266226780463315,6.2,0.45,0.70
A-2036,A,2036,365,730,190,152.5673474855293678043415422,6.2,0.45,0.70
A-2037,A,2037,730,1095,190,190,6.2,0.45,0.70
B-2037,B,2037,730,1095,110,110,8.9,0.15,0.00
A-2038,A,2038,1095,1460,190,190,7.750,0.45,0.70
C-2038,C,2038,1095,1460,130,76.43003715822749708834784534,7.1,0.30,0.50
B-2038,B,2038,1095,1460,110,110,11.125,0.15,0.00
A-2039,A,2039,1460,1825,190,190,7.750,0.45,0.70
C-2039,C,2039,1460,1825,130,130,7.1,0.30,0.50
B-2039,B,2039,1460,1825,110,110,11.125,0.15,0.00
A-2040,A,2040,1825,2190,190,190,6.2,0.45,0.70
C-2040,C,2040,1825,2190,130,130,7.1,0.30,0.50
B-2040,B,2040,1825,2190,110,110,8.9,0.15,0.00
E-INSURANCE-2038,E,2038,1095,1460,80,80,13.8,0.35,0.00
E-INSURANCE-2039,E,2039,1460,1825,80,80,13.8,0.35,0.00
E-INSURANCE-2040,E,2040,1825,2190,80,80,13.8,0.35,0.00
